Book,Author,Original Language,First Published,Approximate Sales,Genre
Jack Reacher,Lee Child,English,22 Novels + 11 Short Stories,1997–present,60 million[240]
The Magic School Bus,"Joanna Cole, illustrated by Bruce Degen",English,131,1986–2010,58 million[241]
Where's Wally?[242],Martin Handford,English,13,1987–present,55 million[243]
"Men Are from Mars, Women Are from Venus",John Gray,English,15,1992–present,50 million[244]
The Hardy Boys,Various authors as Franklin W. Dixon,English,190,1927–present,50 million[245]
The Bobbsey Twins,Various authors as Laura Lee Hope,English,72,1904–1979,50 million[246]
Tarzan,Edgar Rice Burroughs,English,26,1914–1995,50 million[247]
Earth's Children,Jean M. Auel,English,6,1980–2011,45 million[248]
A Child's First Library of Learning,Various authors,English,29,1980–,45 million[249]
Junie B. Jones,Barbara Park,English,30,1992–2013,44 million[250]
Harry Bosch,Michael Connelly,English,15,1992–,42 million[251]
Harry Hole,Jo Nesbø,Norwegian,9,1997–present,40 million[252]
Warriors,Erin Hunter,English,78,2003–present,40 million[253]
连环画 铁道游击队 (Picture-and-story book Railway Guerilla),original author: Liu Zhixia [zh],Chinese,10,1955–1962,36.52 million[254]
The Shadowhunter Chronicles,Cassandra Clare,English,14 + 8 companion books,2007–present,50 million[255]
かいけつゾロリ (Kaiketsu Zorori),Yutaka Hara,Japanese,60,1987–present,35 million[256]
Paddington Bear,Michael Bond,English,70,1958–present,35 million[257]
Divergent trilogy,Veronica Roth,English,3 + 1 companion book,2011–2013,35 million[258]
ノンタン (Nontan),Sachiko Kiyono,Japanese,40,1976–2016,33.6 million[259]
The Inheritance Cycle,Christopher Paolini,English,4,2002–2011,33 million[260]
"Rich Dad, Poor Dad","Robert Kiyosaki, Sharon Lechter",English,18,1997–,32 million[261]
とある魔術の禁書目録 (Toaru Majutsu no Index),Kazuma Kamachi,Japanese,46,2004–,30 million[262]
グイン・サーガ (Guin Saga),Kaoru Kurimoto,Japanese,147,1979–2009,30 million[263]
徳川家康 [ja] (Tokugawa Ieyasu),Sōhachi Yamaoka,Japanese,26,1950–1967,30 million[264]
Ramona,Beverly Cleary,English,8,1955–1999,30 million[265]
The Dark Tower,Stephen King,English,8,1982–2012,30 million[266]
Dork Diaries,Rachel Renée Russell,English,15,2009–present,30 million[267]
The Destroyer,"Warren Murphy and Richard Sapir, various authors",English,150,1971–present,30 million[268]
地球往事 (Remembrance of Earth's Past),Liu Cixin,Chinese,3,2008–2010,29 million[269]
三毛猫ホームズシリーズ [ja] (Calico Cat Holmes series),Jirō Akagawa,Japanese,43,1978–present,28 million[270]
Curious George,Hans Augusto Rey and Margret Rey,English,58,1941–present,27 million[271]
Shannara,Terry Brooks,English,20,1977–present,26 million[272]
Kurt Wallander,Henning Mankell,Swedish,10,1991–2002,25 million[273]
Sagan om Isfolket (The Legend of the Ice People),Margit Sandemo,Swedish,47,1982–1989,25 million[274]
The Sword of Truth,Terry Goodkind,English,21,1998–present,25 million[275]
Outlander,Diana Gabaldon,English,8,1991–present,25 million[276]
ズッコケ三人組 [ja] (Zukkoke Sanningumi),Masamoto Nasu,Japanese,50,1978–2004,25 million[277]
鬼平犯科帳 (Onihei Hankachō),Shōtarō Ikenami,Japanese,24,1968–1990,"24.4 million, only bunkobon[278]"
Brain Quest,Various authors,English,,1992–present,23.7 million[279]
South Beach Diet,Arthur Agatston,English,6,2003–present,22 million[280]
ソードアート・オンライン (Sword Art Online),Reki Kawahara,Japanese,27,2009–present,30 million[281]
竜馬がゆく [ja] (Ryoma ga Yuku),Ryōtarō Shiba,Japanese,5,1963–1966,21.5 million[282]
Artemis Fowl,Eoin Colfer,English,8 + 1 companion book,2001–2012,21 million[283]
The Cosmere,Brandon Sanderson,English,30+[284],2005–present,21 Million [285]
Dune series,Frank Herbert,English,30+,1965,20 million[118]
I Survived,Lauren Tarshis,English,25,2010–2020,more than 20 million[286][287]
Découvertes Gallimard,Various authors,French,more than 700,1986–present,more than 20 million[288][289]
Redwall,Brian Jacques,English,22,1986–2011,20 million[290]
Maisy,Lucy Cousins,English,23,1990–present,20 million[130]
Dragonlance,Various authors,English,more than 150,1984–present,20 million[291]
幻魔大戦 (Genma Taisen),Kazumasa Hirai,Japanese,20,1979–1983,20 million[292]
青春の門 (The Gate of Youth),Hiroyuki Itsuki,Japanese,,1970–present,20 million[293]
スレイヤーズ (Slayers),Hajime Kanzaka,Japanese,50,1989–present,20 million[294]
The Foundation Trilogy,Isaac Asimov,English,3[295],1950–1953,20 million[296]
Horrible Histories,Terry Deary,English,24,1993–present,20 million[297]
Rainbow Magic,Daisy Meadows,English,80+,2003–present,20 million[298]
Morgan Kane,Louis Masterson,Norwegian,90,1966–,20 million[299]
The Southern Vampire Mysteries,Charlaine Harris,English,13,2001–2013,20 million[300]
Doc Savage,"Lester Dent, various authors",English,203,1933–present,20 million[301]
涼宮ハルヒシリーズ (Haruhi Suzumiya Series),Nagaru Tanigawa,Japanese,11,2003–present,20 million[302]
一億人の昭和史 (1-oku nin no Shōwa shi / Shōwa History of 100 million people),"Tomiyasu Takahara, Various authors",Japanese,95,1975-1980,19 million[303]
科学のアルバム (Kagaku no album / Science's Album),Various authors,Japanese,,1970–present,19 million[304]
剣客商売 (Kenkaku Shōbai),Shotaro Ikenami,Japanese,18,1972–1989,18 million[305]
Erast Fandorin series,Boris Akunin,Russian,12,1998–present,18 million[306]
Dragonriders of Pern,Anne McCaffrey,English,23,1967–present,18 million[307]
吸血鬼ハンターD (Vampire Hunter D),Hideyuki Kikuchi,Japanese,39,1983–present,17 million[308]
The Hitchhiker's Guide to the Galaxy,"Douglas Adams, plus a final book by Eoin Colfer",English,6,1979–2008,16 million[309][310]
ぼくらシリーズ [ja] (Bokura series),Osamu Soda,Japanese,36,1985–present,15 million[311]
Bridget Jones,Helen Fielding,English,3,1996–present,15 million[312]
His Dark Materials,Philip Pullman,English,3,1995–2000,15 million[313]
銀河英雄伝説 (Legend of the Galactic Heroes),Yoshiki Tanaka,Japanese,14,1982–1989,15 million[314]
The No. 1 Ladies Detective Agency,Alexander McCall Smith,English,23,1999–present,15 million[315]
Der Regenbogenfisch (Rainbow Fish),Marcus Pfister,German,,1992–present,15 million[316]
The Riftwar Cycle,Raymond E. Feist,English,25,1982–present,15 million[317]
The Thrawn trilogy,Timothy Zahn,English,3,1991–93,15 million[318]
Wiedźmin (The Witcher),Andrzej Sapkowski,Polish,9,1990–2013,15 million[319]
